mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33.33447995185852,0.23745323074231656,0.039032268524169925,0.004319722403907676,9,5,1,10,"{'max_depth': 9, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
32.52161741256714,1.259258386257759,0.04064035415649414,0.005340115371902791,9,5,2,2,"{'max_depth': 9, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.10145411491394,1.3097869450546604,0.04227237701416016,0.0042325231630413376,9,5,2,5,"{'max_depth': 9, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
32.92386965751648,1.057067457096187,0.04142289161682129,0.003817133472476522,9,5,2,10,"{'max_depth': 9, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.423990678787234,1.2719172104525307,0.048080968856811526,0.00328894257354816,9,5,4,2,"{'max_depth': 9, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.49429965019226,0.94389426068339,0.04310774803161621,0.0063816918615825025,9,5,4,5,"{'max_depth': 9, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.260599088668826,1.2593110571540058,0.04652547836303711,0.004013728385647152,9,5,4,10,"{'max_depth': 9, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
47.446398210525516,1.0927274795007806,0.03214592933654785,0.006004067714463546,9,10,1,2,"{'max_depth': 9, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
47.05423803329468,0.47342230609386204,0.03539886474609375,0.004531785435229945,9,10,1,5,"{'max_depth': 9, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
47.62143297195435,1.0993529109552762,0.035735273361206056,0.006827874500543529,9,10,1,10,"{'max_depth': 9, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
46.682258462905885,0.7890312529986115,0.05022516250610352,0.005865647983261284,9,10,2,2,"{'max_depth': 9, 'max_leaf_nodes': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
46.91094732284546,0.8649462875974069,0.044657135009765626,0.004543241148891332,9,10,2,5,"{'max_depth': 9, 'max_leaf_nodes': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
47.036180114746095,0.8894004905952674,0.03691654205322266,0.006797971990292749,9,10,2,10,"{'max_depth': 9, 'max_leaf_nodes': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
47.74950695037842,0.44092388166709084,0.03675742149353027,0.0033552952935588,9,10,4,2,"{'max_depth': 9, 'max_leaf_nodes': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
